team,league,fci,salary
Arizona Diamondbacks,MLB,126.89,2773298
Atlanta Braves,MLB,174.06,3484949
Baltimore Orioles,MLB,163.39,3553100
Boston Red Sox,MLB,350.86,5679006
Chicago Cubs,MLB,300.73,3606269
Chicago White Sox,MLB,208.18,4115667
Cincinnati Reds,MLB,166.62,4687883
Cleveland Indians,MLB,166.52,3074685
Colorado Rockies,MLB,196.6,3517453
Detroit Tigers,MLB,213.03,6207634
Houston Astros,MLB,220.28,2363670
Kansas City Royals,MLB,212.04,4057809
Los Angeles Angels of Anaheim,MLB,190.16,4312374
Los Angeles Dodgers,MLB,218.94,8023207
Miami Marlins,MLB,224.83,2536259
Milwaukee Brewers,MLB,182.28,3500085
Minnesota Twins,MLB,229.36,4190192
New York Mets,MLB,219.68,3271266
New York Yankees,MLB,337.2,7309407
Oakland Athletics,MLB,195,2608687
Philadelphia Phillies,MLB,252.18,4850982
Pittsburgh Pirates,MLB,175.95,2847694
San Diego Padres,MLB,153.45,3050785
San Francisco Giants,MLB,241.13,6166861
Seattle Mariners,MLB,212,4278502
St. Louis Cardinals,MLB,236.81,4167912
Tampa Bay Rays,MLB,157.6,2304900
Texas Rangers,MLB,190.54,4307299
Toronto Blue Jays,MLB,208.28,4711792
Washington Nationals,MLB,232.08,5686914
Atlanta Hawks,NBA,245.39,3935870
Boston Celtics,NBA,444.16,4782308
Brooklyn Nets,NBA,404.6,6249418
Charlotte Hornets,NBA,212.4,4299748
Chicago Bulls,NBA,477.32,4830889
Cleveland Cavaliers,NBA,271.74,4946195
Dallas Mavericks,NBA,312.2,4596787
Denver Nuggets,NBA,322.5,5039525
Detroit Pistons,NBA,261.2,3974863
Golden State Warriors,NBA,336.52,4890102
Houston Rockets,NBA,369.86,4367479
Indiana Pacers,NBA,232.44,4760206
Los Angeles Clippers,NBA,435.72,5335038
Los Angeles Lakers,NBA,541,4801555
Memphis Grizzlies,NBA,223.92,5005464
Miami Heat,NBA,468.2,4832962
Milwaukee Bucks,NBA,325.85,3717464
Minnesota Timberwolves,NBA,281.06,4394635
New Orleans Pelicans,NBA,221.8,4642609
New York Knicks,NBA,676.42,5882270
Oklahoma City Thunder,NBA,295.4,4752859
Orlando Magic,NBA,263.1,2754114
Philadelphia 76ers,NBA,278.9,2205831
Phoenix Suns,NBA,341.9,3871665
Portland Trail Blazers,NBA,317.08,4605855
Sacramento Kings,NBA,280.28,5074654
San Antonio Spurs,NBA,340.6,4551379
Toronto Raptors,NBA,289.71,5032717
Utah Jazz,NBA,275.74,4112213
Washington Wizards,NBA,258.78,4868102
Arizona Cardinals,NFL,436.09,1954241
Atlanta Falcons,NFL,438.33,2041431
Baltimore Ravens,NFL,538.66,2048200
Buffalo Bills,NFL,391.04,2239299
Carolina Panthers,NFL,415.24,2091879
Chicago Bears,NFL,601.2,2189154
Cincinnati Bengals,NFL,398.47,2326410
Cleveland Browns,NFL,401.52,2195571
Dallas Cowboys,NFL,634.8,1792288
Denver Broncos,NFL,482.22,2306822
Detroit Lions,NFL,437.63,2329699
Green Bay Packers,NFL,495.87,2325131
Houston Texans,NFL,491.11,2037991
Indianapolis Colts,NFL,462.75,1917536
Jacksonville Jaguars,NFL,347.6,1968022
Kansas City Chiefs,NFL,396.02,1881386
Miami Dolphins,NFL,398.12,2345714
Minnesota Vikings,NFL,474.86,2259394
New England Patriots,NFL,624.7,2078594
New Orleans Saints,NFL,507.49,2154897
New York Giants,NFL,629.62,2071784
New York Jets,NFL,553.63,1733599
Oakland Raiders,NFL,420.7,2002521
Philadelphia Eagles,NFL,530.76,2202430
Pittsburgh Steelers,NFL,481.78,2233807
San Diego Chargers,NFL,478.19,2136715
San Francisco 49ers,NFL,640,2036648
Seattle Seahawks,NFL,472.4,2194201
St. Louis Rams,NFL,431.85,1901604
Tampa Bay Buccaneers,NFL,373.76,2306236
Tennessee Titans,NFL,404.58,2153578
Washington Redskins,NFL,597.51,2093124
Anaheim Ducks,NHL,288.88,2106767
Arizona Coyotes,NHL,310.71,2297188
Boston Bruins,NHL,509.8,2635865
Buffalo Sabres,NHL,290.9,2588573
Calgary Flames,NHL,352.12,2035345
Carolina Hurricanes,NHL,341.17,2530600
Chicago Blackhawks,NHL,463.2,3287065
Colorado Avalanche,NHL,295.64,2490000
Columbus Blue Jackets,NHL,288.62,2104569
Dallas Stars,NHL,263.11,2424904
Detroit Red Wings,NHL,307.54,2774712
Edmonton Oilers,NHL,393.75,2737700
Florida Panthers,NHL,255.55,2549244
Los Angeles Kings,NHL,384.99,3098438
Minnesota Wild,NHL,383.25,2698320
Montreal Canadiens,NHL,410.04,2467900
Nashville Predators,NHL,343.14,2650104
New Jersey Devils,NHL,313.85,2364457
New York Islanders,NHL,299.59,2231292
New York Rangers,NHL,479.48,3337739
Ottawa Senators,NHL,296.19,2302917
Philadelphia Flyers,NHL,386.11,2811759
Pittsburgh Penguins,NHL,390.84,3332955
San Jose Sharks,NHL,344.42,2577500
St. Louis Blues,NHL,327.32,2698700
Tampa Bay Lightning,NHL,281.02,2775677
Toronto Maple Leafs,NHL,572.58,3026479
Vancouver Canucks,NHL,456.35,2637700
Washington Capitals,NHL,411.94,2697407
Winnipeg Jets,NHL,413.04,2656522