title,budget,age,mpaa
'Til There Was You,23,21,PG-13
10 Things I Hate About You,16,19,PG-13
100 Mile Rule,1.1,16,R
13 Going On 30,37,14,PG-13
"13th Warrior, The",85,19,R
15 Minutes,42,17,R
1776,4,46,PG
2 Fast 2 Furious,76,15,PG-13
20 Dates,0.06,20,R
200 Cigarettes,6,19,R
2001: A Space Travesty,26,18,R
2046,12,14,R
21 Grams,20,15,R
"24 Hour Woman, The",2.5,19,R
25th Hour,15,16,R
28 Days,43,18,PG-13
28 Days Later...,8,16,R
3000 Miles to Graceland,62,17,R
40 Days and 40 Nights,17,16,R
50 First Dates,75,14,PG-13
"51st State, The",28,17,R
54,13,20,R
"6th Day, The",82,18,PG-13
8 Mile,41,16,R
8MM,40,19,R
AVP: Alien Vs. Predator,45,14,PG-13
Abandon,25,16,PG-13
About Schmidt,30,16,R
About a Boy,27,16,PG-13
Absolon,8,15,R
Absolute Power,50,21,R
"Abyss, The",69.5,29,PG-13
Ace Ventura: Pet Detective,12,24,PG-13
Ace Ventura: When Nature Calls,30,23,PG-13
Adaptation.,19,16,R
"Adventures of Pluto Nash, The",100,16,PG-13
"Adventures of Robin Hood, The",1.9,80,PG
"Adventures of Rocky & Bullwinkle, The",76,18,PG
Affliction,6,21,R
After Image,1.2,17,R
After the Sunset,58,14,PG-13
Agent Cody Banks,26,15,PG
Agent Cody Banks 2: Destination London,26,14,PG
Air Bud,3,21,PG
Air Force One,85,21,R
Air Marshal,0.5,15,R
"Alamo, The",95,14,PG-13
"Alan Smithee Film: Burn Hollywood Burn, An",10,21,R
Albino Alligator,5,22,R
Alexander,150,14,R
Alferd Packer: The Musical,0.125,22,R
Alfie,60,14,R
Ali,107,17,R
Alien,11,39,R
Alien Abduction,0.6,13,R
Alien Escape,1,21,R
Alien: Resurrection,70,21,R
Aliens,18.5,32,R
All About the Benjamins,14,16,R
All the Pretty Horses,45,18,PG-13
All the Queen's Men,25,17,PG-13
All the Real Girls,1,15,R
Almost Famous,60,18,R
Alone in the Dark,20,13,R
Along Came Polly,42,14,PG-13
Along Came a Spider,28,17,R
Amadeus,18,34,R
America's Sweethearts,48,17,PG-13
American Beauty,15,19,R
American History X,10,20,R
American Outlaws,35,17,PG-13
American Pie,11,19,R
American Pie 2,30,17,R
"American President, The",62,23,PG-13
American Psycho,8,18,R
American Wedding,55,15,R
"American Werewolf in Paris, An",22,21,R
Amistad,40,21,R
"Amityville Horror, The",18,13,R
Amores perros,2,18,R
Anacondas: The Hunt for the Blood Orchid,25,14,PG-13
Analyze This,30,19,R
Anchorman: The Legend of Ron Burgundy,26,14,PG-13
Angel Eyes,38,17,R
Anger Management,75,15,PG-13
"Animal, The",22,17,R
"Animatrix: Final Flight of the Osiris, The",5,15,PG-13
Anna and the King,75,19,PG-13
Antitrust,30,17,PG-13
Antwone Fisher,12.5,16,PG-13
Antz,60,20,PG
Any Given Sunday,62,19,R
Anything Else,18,15,R
Anywhere But Here,23,19,PG-13
Apocalypse Now,31.5,39,R
Apollo 13,62,23,PG
"Apostle, The",5,21,PG-13
Apt Pupil,14,20,R
Are We There Yet?,32,13,PG
Arlington Road,21.5,19,R
Armageddon,140,20,PG-13
Army of Darkness,11,25,R
Around the Fire,1.2,19,R
Around the World in 80 Days,110,14,PG
Artificial Intelligence: AI,90,17,PG-13
As Good as It Gets,50,21,PG-13
Assassins,50,23,R
Assault on Precinct 13,20,13,R
"Astronaut's Wife, The",34,19,R
At First Sight,40,19,PG-13
Atlantis: The Lost Empire,90,17,PG
"Attic Expeditions, The",1,17,R
Austin Powers in Goldmember,63,16,PG-13
Austin Powers: International Man of Mystery,17,21,PG-13
Austin Powers: The Spy Who Shagged Me,33,19,PG-13
Auto Focus,7,16,R
Autumn in New York,40,18,PG-13
Avalon,8,17,R
"Avengers, The",60,20,PG-13
"Aviator, The",116,14,PG-13
"Awfully Big Adventure, An",4,23,R
Baby Boy,16,17,R
Baby Geniuses,13,19,PG
"Bachelor, The",21,19,PG-13
Bad Boys,23,23,R
Bad Boys II,130,15,R
Bad Company,70,16,PG-13
Bad Moon,7,22,R
Bad Santa,18,15,R
"Badge, The",6,16,R
Bait,35,18,R
"Ballad of Jack and Rose, The",1.5,13,R
Ballistic: Ecks vs. Sever,70,16,R
Bamboozled,10,18,R
Bananas,2,47,PG-13
Bandits,80,17,PG-13
"Banger Sisters, The",10,16,R
Baptists at Our Barbecue,0.5,14,PG
Barbershop,12,16,PG-13
Barbershop 2: Back in Business,18,14,PG-13
Basic,50,15,R
Basic Instinct,49,26,R
Basil,10,20,R
"Basket, The",3,19,PG
Batman & Robin,110,21,PG-13
Batman Forever,100,23,PG-13
"Battle of Shaker Heights, The",1,15,PG-13
Battlefield Earth: A Saga of the Year 3000,73,18,PG-13
Be Cool,53,13,PG-13
"Beach, The",50,18,R
Bean,22,21,PG-13
Beautiful,9,18,PG-13
"Beautiful Country, The",6,14,R
"Beautiful Mind, A",60,17,PG-13
Beavis and Butt-Head Do America,12,22,PG-13
Because of Winn-Dixie,14,13,PG
Bedazzled,48,18,PG-13
Before Sunset,10,14,R
Behind Enemy Lines,40,17,PG-13
Being Julia,18,14,R
Belly,10,20,R
Belly of the Beast,18,15,R
Beloved,53,20,R
Beowulf,20,19,R
Best Laid Plans,7,19,R
Best in Show,6,18,PG-13
Better Luck Tomorrow,0.25,16,R
Beyond Borders,35,15,R
Beyond Rangoon,23,23,R
Beyond Re-Animator,3,15,R
Beyond the Mat,0.5,19,R
Beyond the Sea,24,14,PG-13
Bicentennial Man,100,19,PG
"Big Bounce, The",50,14,PG-13
"Big Brass Ring, The",7,19,R
Big Bully,15,22,PG
Big Daddy,34.2,19,PG-13
Big Fat Liar,15,16,PG
Big Fish,70,15,PG-13
"Big Hit, The",13,20,R
"Big Lebowski, The",15,20,R
Big Momma's House,30,18,PG-13
"Big Tease, The",4,19,R
Big Trouble,40,16,PG-13
Bigger Than the Sky,0.75,13,PG-13
Billy Elliot,5,18,R
Birth,20,14,R
Birthday Girl,13,17,R
Black Hawk Down,90,17,R
Black Knight,50,17,PG-13
Black and White,10,19,R
Blacktop,3.5,18,R
Blade,45,20,R
Blade II,55,16,R
Blade: Trinity,65,14,R
"Blair Witch Project, The",0.035,19,R
Blast from the Past,35,19,PG-13
Bless the Child,40,18,R
Blind Horizon,5.1,15,R
Blood Work,50,16,R
Blood and Wine,26,22,R
"Blood, Guts, Bullets and Octane",0.0073,20,R
Bloody Sunday,5,16,R
Blow,30,17,R
Blue Crush,30,16,PG-13
Blue Hill Avenue,1.2,17,R
Blues Brothers 2000,28,20,PG-13
Boat Trip,20,16,R
Body of Influence 2,1.2,22,R
Bogus,32,22,PG
Boiler Room,9,18,R
Bon voyage,20,15,PG-13
"Bone Collector, The",48,19,R
"Bone Snatcher, The",6,15,R
Bones,16,17,R
Boogeyman,20,13,PG-13
Boogie Nights,15,21,R
"Book of Mormon Movie, Volume 1: The Journey, The",2,15,PG-13
Book of Shadows: Blair Witch 2,15,18,R
"Boot, Das",14,37,R
"Borrowers, The",29,21,PG
Bounce,35,18,PG-13
Bound,4.5,22,R
"Bourne Identity, The",75,16,PG-13
"Bourne Supremacy, The",75,14,PG-13
Bowfinger,55,19,PG-13
Bowling for Columbine,4,16,R
Boys Don't Cry,2,19,R
Boys and Girls,16,18,PG-13
"Brady Bunch Movie, The",12,23,PG-13
Braveheart,53,23,R
Bravo Two Zero,6.5,19,R
"Bread, My Sweet, The",0.6,17,PG-13
Break Up,9,20,R
Breakdown,36,21,R
Breakfast of Champions,12,19,R
Breathing Room,0.5,22,R
"Breed, The",4,17,R
Bride & Prejudice,7,14,PG-13
Bride of Chucky,25,20,R
Bride of the Wind,12,17,R
Bridge of Dragons,4,19,R
"Bridges of Madison County, The",22,23,PG-13
Bridget Jones's Diary,26,17,R
Bridget Jones: The Edge of Reason,70,14,R
Brigham City,1,17,PG-13
Bring It On,10,18,PG-13
Bringing Down the House,35,15,PG-13
Bringing Out the Dead,32,19,R
Broken Arrow,65,22,R
Broken Vessels,0.6,20,R
Brooklyn Bound,0.07,14,R
Brother,12,18,R
"Brother from Another Planet, The",0.3,34,R
"Brothers McMullen, The",0.0238,23,R
Brown Sugar,8,16,PG-13
Bruce Almighty,81,15,PG-13
Bruno,10,18,PG-13
"Brylcreem Boys, The",6,20,PG-13
Bubba Ho-tep,1,16,R
Bubble Boy,13,17,PG-13
Buffalo '66,1.5,20,R
Buffalo Soldiers,15,17,R
Bug Buster,8.5,20,PG-13
Bulletproof Monk,52,15,PG-13
"Burial Society, The",1.5,16,R
But I'm a Cheerleader,1.2,19,R
"Butterfly Effect, The",13,14,R
C'era una volta il West,5,50,PG-13
CQ,7,17,R
Cabin Fever,1.5,16,R
"Cable Guy, The",47,22,PG-13
Cafe Society,3.5,23,R
Calling Bobcat,0.23,18,R
Can't Be Heaven,2,18,PG
Can't Hardly Wait,10,20,PG-13
Cape Fear,35,27,R
Captain Corelli's Mandolin,57,17,R
Carandiru,6,15,R
Carnival of Souls,2,20,R
Carpool,17,22,PG
Casino,52,23,R
Casper,55,23,PG
Cast Away,90,18,PG-13
"Cat in the Hat, The",109,15,PG
Catch Me If You Can,52,16,PG-13
Catch That Kid,18,14,PG
Cats & Dogs,60,17,PG
Catwoman,85,14,PG-13
Cecil B. DeMented,10,18,R
Celebrity,12,20,R
"Cell, The",33,18,R
Cellular,25,14,PG-13
Chain Reaction,55,22,PG-13
Chain of Fools,20,18,R
Chairman of the Board,10,20,PG-13
"Chamber, The",50,22,R
Changing Habits,1.2,21,R
Changing Lanes,45,16,R
Charlie,5,14,R
Charlie's Angels,92,18,PG-13
Charlie's Angels: Full Throttle,120,15,PG-13
Charlotte Sometimes,0.08,16,R
Charly,0.95,16,PG
Chasing Amy,0.25,21,R
Chasing Liberty,23,14,PG-13
Cheaper by the Dozen,40,15,PG
Cherish,1.5,16,R
Cherry Falls,14,18,R
Chicago,45,16,PG-13
Children On Their Birthdays,10,16,PG
Chill Factor,34,19,R
Chopin. Pragnienie milosci,3.5,16,R
Christmas with the Kranks,60,14,PG
"Chronicles of Riddick, The",110,14,PG-13
Chuck&Buck,0.25,18,R
Ciao America,5,16,R
Cidade de Deus,3.3,16,R
"Cider House Rules, The",24,19,PG-13
"Cinderella Story, A",20,14,PG
Citizen Verdict,10,15,R
City Hall,40,22,R
City by the Sea,60,16,R
City of Angels,55,20,PG-13
City of Ghosts,17.5,16,R
"Civil Action, A",60,20,PG-13
Civil Brand,0.5,16,R
Claudine's Return,2,20,R
Claustrophobia,0.114,15,R
Clay Pigeons,8,20,R
Clerks.,0.23,24,R
"Climb, The",2.5,16,PG
Clockers,25,23,R
Clockstoppers,26,16,PG
Club Dread,9,14,R
Clubland,4,19,R
Clueless,20,23,PG-13
Coach Carter,30,13,PG-13
"Cockettes, The",0.3,16,R
Code 46,7.5,15,R
Cold Heart,3,17,R
Cold Hearts,0.9,19,R
Cold Mountain,83,15,R
Collateral,65,14,R
Collateral Damage,85,16,R
Commandments,5,21,R
Committed,3,18,R
Company Man,16,18,PG-13
"Company, The",15,15,PG-13
"Comunidad, La",2,18,R
"Confession, The",4,19,R
Confessions of a Dangerous Mind,29,16,R
Confessions of a Teenage Drama Queen,15,14,PG
Confidence,15,15,R
Congo,50,23,PG-13
Conspiracy Theory,75,21,R
Contact,90,21,PG
"Contender, The",9,18,R
Cop Land,15,21,R
Copycat,20,23,R
"Core, The",74,15,PG-13
Corky Romano,11,17,PG-13
Coronado,4.7,15,PG-13
Cotton Mary,3.5,19,R
"Count of Monte Cristo, The",35,16,PG-13
Country of My Skull,12,14,R
Courage Under Fire,46,22,R
Coyote Ugly,45,18,R
Cradle 2 the Grave,25,15,R
Cradle Will Rock,32,19,R
"Craft, The",15,22,R
Crash,6.5,14,R
Crazy in Alabama,15,19,PG-13
Crazy/Beautiful,14,17,PG-13
"Crew, The",23,18,PG-13
"Crier, The",0.25,23,R
Crime Partners 2000,0.25,17,R
Crime Spree,10,15,R
"Crimen del padre Amaro, El",1.8,16,R
Crimson Tide,53,23,R
Critical Care,12,21,R
Crocodile Dundee in Los Angeles,25,17,PG
"Crocodile Hunter: Collision Course, The",13,16,PG
Crossplot,1,49,PG-13
Crossroads,12,16,PG-13
"Crow: City of Angels, The",13,22,R
"Crow: Salvation, The",25,18,R
Cruel Intentions,11,19,R
Cry of the Banshee,0.5,48,R
Curdled,2.309723,22,R
"Curse of the Jade Scorpion, The",26,17,PG-13
Curse of the Puppet Master,0.25,20,R
Cursed,35,13,R
Cutaway,9,18,R
Cutthroat Island,92,23,PG-13
Cypher,7.5,16,R
D-Tox,55,16,R
D.E.B.S.,3.5,14,PG-13
Daddy Day Care,60,15,PG
Daddy and Them,4,17,R
Dagon,4.8,17,R
"Damned, The",0.03,17,R
Dancing in September,0.85,18,R
"Dangerous Lives of Altar Boys, The",12,16,R
Dante's Peak,104,21,PG-13
Daredevil,75,15,R
Dark Blue,15,16,R
Dark Heaven,0.08,16,R
Darkness Falls,11,15,PG-13
Dawn of the Dead,28,14,R
"Day After Tomorrow, The",125,14,PG-13
"Day Without a Mexican, A",1.5,14,R
Day of Defense,0.5,15,PG
Daylight,80,22,PG-13
Dead Babies,1,18,R
"Dead Hate the Living!, The",0.15,18,R
Dead Man Walking,11,23,R
Dead Man on Campus,14,20,R
Dead Man's Curve,1,20,R
Dead Presidents,15,23,R
Death 4 Told,0.085,14,R
Death to Smoochy,55,16,R
Deconstructing Harry,20,21,R
Decoys,5,14,R
Deep Blue Sea,78,19,R
"Deep End of the Ocean, The",40,19,PG-13
"Deep End, The",3,17,R
Deep Impact,75,20,PG-13
Deep Rising,45,20,R
"Defender, The",6,14,R
Delivered,1,20,R
Dellamorte Dellamore,4,24,R
"Demolitionist, The",1,23,R
"Dentist II, The",1.8,20,R
Derailed,18,16,R
Desperado,7,23,R
Destino,1.5,15,PG
Detention,10,15,R
Detroit Rock City,15,19,R
Deuce Bigalow: Male Gigolo,18,19,R
Deuces Wild,10,16,R
"Devil's Advocate, The",57,21,R
"Devil's Own, The",80,21,R
Devil's Pond,5,15,R
Diary of a Mad Black Woman,5.5,13,PG-13
Dick,13,19,PG-13
Dickie Roberts: Former Child Star,17,15,PG-13
Die Another Day,142,16,PG-13
Die Hard: With a Vengeance,90,23,R
"Different Loyalty, A",13,14,R
Digimon: The Movie,5,18,PG
Dill Scallion,0.5,19,PG-13
Dinosaur,127.5,18,PG
Diplomatic Siege,45,19,R
Dirty Pretty Things,10,16,R
Dirty Work,13,20,PG-13
Disturbing Behavior,15,20,R
Divine Secrets of the Ya-Ya Sisterhood,27,16,PG-13
Doctor Dolittle,71.5,20,PG-13
Doctor Sleep,10,16,R
Doctor Zhivago,11,53,PG-13
Dodgeball: A True Underdog Story,20,14,PG-13
"Dog of Flanders, A",7,19,PG
Dogma,10,19,R
Dom durakov,2.5,16,R
Domestic Disturbance,53,17,PG-13
Dominion,1.3,23,R
Don't Say a Word,50,17,R
Donnie Brasco,35,21,R
Donnie Darko,4.5,17,R
Double Jeopardy,40,19,R
Double Take,24,17,PG-13
Double Tap,8,21,R
Double Whammy,4,17,R
Down Time,0.02,17,R
Down and Out with the Dolls,1.2,17,R
Down to Earth,30,17,PG-13
Down to You,9,18,PG-13
Dr T and the Women,12,18,R
Dr. Dolittle 2,72,17,PG
Dr. Jekyll and Ms. Hyde,8,23,PG-13
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1.8,54,PG
Dracula,40,26,R
Dracula 2000,28,18,R
Dragonfly,60,16,PG-13
Dreamcatcher,68,15,R
Drive,3.5,21,R
Drive Me Crazy,8,19,PG-13
Driven,72,17,PG-13
Drowning Mona,16,18,PG-13
Drumline,20,16,PG-13
"Dude, Where's My Car?",13,18,PG-13
Dudley Do-Right,22,19,PG
Duets,15,18,R
Dumb & Dumber,16,24,PG-13
Dumb and Dumberer: When Harry Met Lloyd,19,15,PG-13
Dungeons & Dragons,35,18,PG-13
Duplex,40,15,PG-13
Dusting Cliff 7,1.3,22,R
DysFunktional Family,3,15,R
E.T. the Extra-Terrestrial,10.5,36,PG
Ed Wood,18,24,R
Eddie,30,22,PG-13
Edges of the Lord,7.5,17,R
Edtv,60,19,PG-13
Eight Legged Freaks,30,16,PG-13
"Eighteenth Angel, The",25,20,R
Election,8.5,19,R
Elektra,43,13,PG-13
Elephant,3,15,R
Elf,33,15,PG
Elizabeth,25,20,R
Ella Enchanted,35,14,PG
Elvira's Haunted Hills,1.5,17,PG-13
Embrace of the Vampire,0.8,24,R
Emma,6,22,PG
Emmett's Mark,4.5,16,R
"Emperor's Club, The",12.5,16,PG-13
Empire,3.5,16,R
End of Days,83,19,R
"End of Violence, The",5,21,R
"End of the Affair, The",23,19,R
Enemy at the Gates,70,17,R
Enemy of the State,90,20,R
"English Patient, The",27,22,R
Enough,38,16,PG-13
Enter the Dragon,0.85,45,R
Entrapment,66,19,PG-13
Envy,40,14,PG-13
Equilibrium,20,16,R
"Era of Vampire, The",1,16,R
Eraser,100,22,R
Erin Brockovich,51,18,R
Escanaba in da Moonlight,1,17,PG-13
Escape from L.A.,50,22,R
"Espinazo del diablo, El",4.5,17,R
Eternal Sunshine of the Spotless Mind,20,14,R
Eulogy,10,14,R
EuroTrip,25,14,R
Eve's Bayou,5,21,R
Evelyn,10,16,PG
EvenHand,0.5,16,R
Event Horizon,70,21,R
Ever After,26,20,PG
"Everlasting Piece, An",14,18,R
Everyone Says I Love You,20,22,R
Everything Put Together,0.5,18,R
Evil Alien Conquerors,0.5,16,PG-13
Evita,55,22,PG
Evolution,80,17,PG-13
Exit Wounds,33,17,R
Exorcist: The Beginning,30,14,R
Extreme Measures,38,22,R
Extreme Ops,40,16,PG-13
Eye for an Eye,20,22,R
Eye of the Beholder,15,19,R
Eyes Wide Shut,65,19,R
Facade,6,18,R
Face/Off,80,21,R
"Faculty, The",15,20,R
Fahrenheit 9/11,6,14,R
Fair Game,50,23,R
Faithful,13,22,R
"Falls, The",0.075,15,R
"Family Man, The",60,18,PG-13
"Fan, The",55,22,R
"Fantasma dell'opera, Il",10,20,R
Far from Heaven,13.5,16,PG-13
Fargo,7,22,R
Fascination,5,14,R
"Fast and the Furious, The",38,17,PG-13
Father of the Bride Part II,30,23,PG
Fathers' Day,85,21,PG-13
Faust: Love of the Damned,6,17,R
Fear X,6.6,15,PG-13
FearDotCom,42,16,R
Femme Fatale,35,16,R
Feng yun xiong ba tian xia,10,20,PG-13
Festen,1.3,20,R
Fever,6,19,R
Fever Pitch,39.69,13,PG-13
"Fifth Element, The",90,21,PG-13
Fight Club,63,19,R
Final,0.08,17,R
Final Destination,23,18,R
Final Destination 2,26,15,R
Final Fantasy: The Spirits Within,137,17,PG-13
Final Solution,1.5,17,R
Finding Forrester,43,18,PG-13
Finding Graceland,10,20,PG-13
Fire Over Afghanistan,0.155,15,R
Firestorm,19,20,R
"Firm, The",42,25,R
First Knight,75,23,PG-13
"First Love, Last Rites",0.3,21,R
Flawless,27,19,R
Flight of the Phoenix,45,14,PG-13
"Flintstones in Viva Rock Vegas, The",58,18,PG
